"id","created_at","created_by","updated_at","updated_by","external_id","display_name","address_line","lab_supervising_doctor","status","npwp","city","landmark","postal_code","images","country","legal_no","site_code","doctor_referrer_name"
23,"2024-12-18 12:50:20",wiwin.dwiutami.hakim,"2024-12-24 20:12:30",wiwin.dwiutami.hakim,"26a4cc2e-e499-4a3a-abdf-8d4b28b95725",Klinik Utama Halomedika,"Jl. Raya Pasar Minggu No 1C, Kec. Pancoran, Kota Jakarta Selatan, DKI Jakarta, 12780",dr. Rakhma Asih Primadyah,,"95.213.894.9-011.000",Jakarta,Klinik Utama Halomedika,"12780","[{""type"":""logo_url"",""extension"":""webp"",""url"":""https://halolab-assets.prod.halodoc.com/catalog/images/packages/857044_24-12-2024_20-12-16.webp"",""external_id"":null,""display_order"":0,""deleted"":false}]",Indonesia,"02204008916440048",H2, dr. Auliya Sauma
24,"2024-12-20 18:39:22",wiwin.dwiutami.hakim,"2024-12-27 12:57:22",wiwin.dwiutami.hakim,e7c9544f-5564-493d-a22f-2d2c24414a49,"Lab, Klinik, dan Farmasi Intibios Banjarmasin","Jalan Gatot Subroto, Nomor 4 dan Nomor 3, Desa/Kelurahan Kebun Bunga, Kec. Banjarmasin Timur, Kota Banjarmasin",dr. Nur Mila,,"05.570.882.0-731.000",Banjarmasin,"Lab, Klinik, dan Farmasi Intibios Banjarmasin","70237","[{""type"":""logo_url"",""extension"":""webp"",""url"":""https://halolab-assets.prod.halodoc.com/catalog/images/packages/2844_26-12-2024_14-24-10.webp"",""external_id"":null,""display_order"":0,""deleted"":false}]",Indonesia,"02202067410560019",H2,dr. Bening Irhamna
25,"2025-01-09 09:43:34",wiwin.dwiutami.hakim,"2025-01-09 10:11:22",wiwin.dwiutami.hakim,"28e06856-c6fb-4ca0-95a0-f75faf53f3c2",Klinik Utama Halomedika,"Jl. Raya Pasar Minggu No 1C, Kec. Pancoran, Kota Jakarta Selatan, DKI Jakarta, 12780",dr. Rakhma Asih Primadyah,,"95.213.894.9-011.000",Malang,Klinik Utama Halomedika,"12780",[],Halodoc Home Care Malang,"02204008916440048",Halodoc Home Care Malang, dr. Auliya Sauma
26,"2025-01-09 09:46:58",wiwin.dwiutami.hakim,"2025-03-04 19:01:17",wiwin.dwiutami.hakim,"16c264e5-63d0-448e-8e79-892279f53e67",Fullerton Health Clinic,"Sunset Permai 3 Blok B & C No. 88, Sunset Road, Banjar Legian Kaja, Kuta-Badung, Bali",dr. I Nyoman Agus Budiartha,,"661585778063000",Kuta,Fullerton Health Clinic,"80361","[{""type"":""logo_url"",""extension"":""webp"",""url"":""https://halolab-assets.prod.halodoc.com/catalog/images/packages/34825_18-2-2025_9-37-20.webp"",""external_id"":null,""display_order"":0,""deleted"":false}]",Indonesia,"6180/KL.P/DPMPTSP/2019",T3,dr. I Nyoman Agus Budiartha
27,"2025-01-09 15:25:24",wiwin.dwiutami.hakim,"2025-01-16 16:31:18",wiwin.dwiutami.hakim,e86a149e-9b2e-40de-ae3a-061dfcf7c632,Klinik Utama Halomedika,"Jl. Raya Pasar Minggu No 1C, Kec. Pancoran, Kota Jakarta Selatan, DKI Jakarta, 12780",dr. Rakhma Asih Primadyah,,"95.213.894.9-011.000",Bandung new,Klinik Utama Halomedika,"12780",[],Indonesia,"02204008916440048",Halodoc Home Care Bandung new, dr. Auliya Sauma
28,"2025-01-14 11:27:40",wiwin.dwiutami.hakim,"2025-03-06 14:48:26",wiwin.dwiutami.hakim,f47648aa-ba87-4b88-952d-b221c1b2a106,Klinik Tirta Medical Center Yogyakarta,"Jl. Magelang No. 71, Kel. Kricak, Kec. Tegalrejo, Daerah Istimewa Yogyakarta",dr. Vera Nopalinda,,"02.436.175.0-063.000",Yogyakarta,Klinik Tirta Medical Center Yogyakarta,"55242","[{""type"":""logo_url"",""extension"":""webp"",""url"":""https://halolab-assets.prod.halodoc.com/catalog/images/packages/44738_6-3-2025_14-48-24.webp"",""external_id"":null,""display_order"":0,""deleted"":false}]",Indonesia,"81202142504520000",T5,dr. Dwi Kartika Sari
29,"2025-01-16 16:27:01",wiwin.dwiutami.hakim,"2025-03-04 19:01:17",wiwin.dwiutami.hakim,"79d30bf8-8835-4d14-bfd0-f0d24706b621",Klinik Tirta Medical Center Surabaya,"JI. Jemursari No. 329-331, Blok F&G, Kec. Wonocolo, Surabaya, Jawa Timur",dr. Eko Novidianto,,"66.158.577.8-063.000",Surabaya,Klinik Tirta Medical Center Surabaya,"60239","[{""type"":""logo_url"",""extension"":""webp"",""url"":""https://halolab-assets.prod.halodoc.com/catalog/images/packages/43116_17-2-2025_13-11-4.webp"",""external_id"":null,""display_order"":0,""deleted"":false}]",Indonesia,"81203120639140000",T2,dr. Eko Novidianto
30,"2025-01-16 16:29:36",wiwin.dwiutami.hakim,"2025-03-04 19:01:19",wiwin.dwiutami.hakim,"2162fe7a-da1b-43ca-9bd6-78a92abcb51b",Klinik Tirta Medical Center Semarang,"Jl. Majapahit No. 211B, RT 01/RW 11, Gemah, Kec. Pedurungan, Kota Semarang, Jawa Tengah",dr. Novrizal Tri Santoso,,"71.319.948.7-518.000",Semarang,Klinik Tirta Medical Center Semarang,"50246","[{""type"":""logo_url"",""extension"":""webp"",""url"":""https://halolab-assets.prod.halodoc.com/catalog/images/packages/592812_18-2-2025_9-51-24.webp"",""external_id"":null,""display_order"":0,""deleted"":false}]",Indonesia,"81203120639140000",T4,dr. Novrizal Tri Santoso
31,"2025-04-25 11:03:42",wiwin.dwiutami.hakim,"2025-04-25 11:18:54",wiwin.dwiutami.hakim,"61bc0b9e-9bf3-4f3f-85fe-c798192163a2",Klinik Tirta Medical Centre Cikande,"Jl. Raya Serang KM.63 RT 03/RW 03, Nambo Ilir, Kec. Kibin, Kab. Serang, Banten",dr. Novianti Yasmin,,"02.436.175.0-454.001",Serang,Klinik Tirta Medical Centre Cikande,"42185","[{""type"":""logo_url"",""extension"":""webp"",""url"":""https://halolab-assets.prod.halodoc.com/catalog/images/packages/43285_25-4-2025_11-3-37.webp"",""external_id"":null,""display_order"":0,""deleted"":false}]",Indonesia,"81202142504520006",T6,dr. Dwi Hiqma Rikka Putri
32,"2025-04-25 11:05:01",wiwin.dwiutami.hakim,"2025-05-08 19:39:57",wiwin.dwiutami.hakim,"373d2057-43b4-44e3-ba9a-75ec1e7ec298",Klinik Tirta Medical Centre Makassar,"Jl. A.P. Pettarani No. 18 Blok B1-B2, Tamamaung, Kec. Panakkukang, Makassar, Sulawesi Selatan",dr. Fauziah Anwar,,"02.436.175.0-063.000",Makassar,Klinik Tirta Medical Centre Makassar,"90231","[{""type"":""logo_url"",""extension"":""webp"",""url"":""https://halolab-assets.prod.halodoc.com/catalog/images/packages/517625_25-4-2025_11-4-57.webp"",""external_id"":null,""display_order"":0,""deleted"":false}]",Indonesia,"503/010337/DPM-PTSP/KES/X/2021",S7,dr. Fauziah Anwar
33,"2025-04-25 11:06:47",wiwin.dwiutami.hakim,"2025-05-08 19:39:40",wiwin.dwiutami.hakim,"271ce12e-e4bb-4853-b101-8adc51b2c50c",Klinik Utama Tirta Medical Centre Manado,"Jl. Babe Palar No.75, Tanjung Batu, Kec. Wanea, Kota Manado, Sulawesi Utara",dr. Ellisabeth Maria Harahap,,"02.436.175.0-063.000",Manado,Klinik Utama Tirta Medical Centre Manado,"95117","[{""type"":""logo_url"",""extension"":""webp"",""url"":""https://halolab-assets.prod.halodoc.com/catalog/images/packages/726434_25-4-2025_11-6-42.webp"",""external_id"":null,""display_order"":0,""deleted"":false}]",Indonesia,"81202142504520081",S6,dr. Ellisabeth Maria Harahap
34,"2025-04-25 11:11:43",wiwin.dwiutami.hakim,"2025-04-28 10:10:02",wiwin.dwiutami.hakim,e7f864a4-9ab5-41f8-a0a9-d4433dc3a001,Klinik Tirta Medical Centre Karawang,"Ruko BizPark Blok B12, Jl. Interchange Tol Karawang Barat, Purwadana, Kec. Teluk Jambe Timur, Karawang, Jawa Barat",dr. David Edward,,"02.436.175.0-408.001",Karawang,Klinik Tirta Medical Centre Karawang,"41360","[{""type"":""logo_url"",""extension"":""webp"",""url"":""https://halolab-assets.prod.halodoc.com/catalog/images/packages/553748_25-4-2025_11-7-45.webp"",""external_id"":null,""display_order"":0,""deleted"":false}]",Indonesia,"503/3878/32/IOK.PRJ/VIII/DPMPTSP/2021",T7,dr. Ditamas Yoga Pratiwi
35,"2025-04-25 11:13:46",wiwin.dwiutami.hakim,"2025-04-28 10:10:14",wiwin.dwiutami.hakim,"68b41e26-9411-4cda-a892-597d4d96d803",Klinik Tirta Medical Centre Samarinda,"Jl. Kadrie Onieng, Air Hitam, Kec. Samarinda Ulu, Kalimantan Timur",dr. Fatimah,,"66.158.577.8-063.000",Samarinda,Klinik Tirta Medical Centre Samarinda,"75124","[{""type"":""logo_url"",""extension"":""webp"",""url"":""https://halolab-assets.prod.halodoc.com/catalog/images/packages/296626_25-4-2025_11-12-49.webp"",""external_id"":null,""display_order"":0,""deleted"":false}]",Indonesia,"440/KL-026/100.02/IX/2018",T8,dr. Fatimah
36,"2025-04-25 11:22:38",wiwin.dwiutami.hakim,"2025-04-28 10:10:30",wiwin.dwiutami.hakim,"9540f26a-011f-41bc-90fe-3276b11f77e9",Klinik Tirta Medical Centre Banjarmasin,"Jl. Gatot Subroto No.39-40, Kebun Bunga, Kec. Banjarmasin Timur, Banjarmasin, Kalimantan Selatan",dr. Maulida Angraini,,"02.436.175.0-731.001",Banjarmasin,Klinik Tirta Medical Centre Banjarmasin,"70235","[{""type"":""logo_url"",""extension"":""webp"",""url"":""https://halolab-assets.prod.halodoc.com/catalog/images/packages/193543_25-4-2025_11-22-35.webp"",""external_id"":null,""display_order"":0,""deleted"":false}]",Indonesia,"503/12-PM/OKL-XI/DPMPTSP/2021",T9,dr. Maulida Angraini
37,"2025-04-28 14:20:18",wiwin.dwiutami.hakim,"2025-04-28 14:20:18",wiwin.dwiutami.hakim,"3d5af34f-f88d-427b-ba5e-dbcefd66b72a",Klinik Tirta Medical Centre Palembang,"Jl. Jendral Sudirman KM 4,5 Komplek Ruko Ario Kemuning, No.2, Palembang, Sumatera Selatan",dr. Zaimah Shalsabilla,,"02.436.175.0-301.001",Palembang,Klinik Tirta Medical Centre Palembang,"30128","[{""type"":""logo_url"",""extension"":""webp"",""url"":""https://halolab-assets.prod.halodoc.com/catalog/images/packages/245811_28-4-2025_14-18-42.webp"",""external_id"":null,""display_order"":0,""deleted"":false}]",Indonesia,"",S3,dr. Zaimah Shalsabilla
38,"2025-04-28 14:21:49",wiwin.dwiutami.hakim,"2025-04-28 14:21:49",wiwin.dwiutami.hakim,"5c14dab7-fb8a-40f4-932a-c00f777dbcd7",Klinik Tirta Medical Centre Medan,"Komplek AATC no.3 & 4, Jl. Jenderal Besar A.H. Nasution, Pangkalan Masyhur, Kec. Medan Johor, Kota Medan, Sumatera Utara ",dr. Siti Ayu Rahmana,,"02.436.175.0-121.001",Medan,Klinik Tirta Medical Centre Medan,"20143","[{""type"":""logo_url"",""extension"":""webp"",""url"":""https://halolab-assets.prod.halodoc.com/catalog/images/packages/200875_28-4-2025_14-20-29.webp"",""external_id"":null,""display_order"":0,""deleted"":false}]",Indonesia,"81202142504520053",S4,dr. Siti Ayu Rahmana
39,"2025-04-28 14:22:44",wiwin.dwiutami.hakim,"2025-05-08 19:40:09",wiwin.dwiutami.hakim,"03be6a19-8217-4cdf-9c8f-60f8c5320d45",Klinik Tirta Medical Centre Bandung,Klinik Tirta Medical Centre Bandung,Klinik Tirta Medical Centre Bandung,,Klinik Tirta Medical Centre Bandung,Klinik Tirta Medical Centre Bandung,Klinik Tirta Medical Centre Bandung,"00000","[{""type"":""logo_url"",""extension"":""webp"",""url"":""https://halolab-assets.prod.halodoc.com/catalog/images/packages/208450_28-4-2025_14-21-53.webp"",""external_id"":null,""display_order"":0,""deleted"":false}]",Klinik Tirta Medical Centre Bandung,Klinik Tirta Medical Centre Bandung,S8,Klinik Tirta Medical Centre Bandung
40,"2025-04-28 14:24:07",wiwin.dwiutami.hakim,"2025-04-28 14:24:07",wiwin.dwiutami.hakim,"7c4d8321-9d1e-4075-beaa-e58df5e03b03",Klinik Tirta Medical Centre Balikpapan,"Jl. Ruhui Rahayu RT 037, Gunung Bahagia, Kec. Balikpapan Selatan, Balikpapan, Kalimantan Timur",dr. Amalia Tanjung,,"02.436.175.0-731.001",Balikpapan,Klinik Tirta Medical Centre Balikpapan,"76114","[{""type"":""logo_url"",""extension"":""webp"",""url"":""https://halolab-assets.prod.halodoc.com/catalog/images/packages/477133_28-4-2025_14-23-2.webp"",""external_id"":null,""display_order"":0,""deleted"":false}]",Indonesia,"81202142504520079",S2,dr. Amalia Tanjung
41,"2025-07-02 11:23:00",wiwin.dwiutami.hakim,"2025-07-02 11:39:52",wiwin.dwiutami.hakim,eae8571d-409a-4244-b4c8-9ac285f2e3bf,Klinik Utama Halomedika,"Jl. Raya Pasar Minggu No 1C, Kec. Pancoran, Kota Jakarta Selatan, DKI Jakarta, 12780",dr. Rakhma Asih Primadyah,,"95.213.894.9-011.000",Jakarta,Klinik Utama Halomedika,"12780","[{""type"":""logo_url"",""extension"":""webp"",""url"":""https://halolab-assets.prod.halodoc.com/catalog/images/packages/635366_2-7-2025_11-21-23.webp"",""external_id"":null,""display_order"":0,""deleted"":false}]",Indonesia,"02204008916440048",DPM1, dr. Auliya Sauma
42,"2025-07-17 13:44:07",wiwin.dwiutami.hakim,"2025-07-17 13:47:37",wiwin.dwiutami.hakim,"58d5eda8-bf91-491f-9059-c4714a2c739a",deleted,deleted,deleted,,deleted,Jakarta,deleted,delet,[],Indonesia,deleted,deleted,deleted
